participant_id;word;response;trial_order;response_order;rt;age;gender;other_languages
174973;bello;pold;7;response1;127610,50000000000;21;male;english
451437;bello;gud;0;response1;41441,10000014310;19;female;english, spanish
270400;bello;kennanz;0;response3;29605,00000000000;20;female;english
115250;bello;vrein;2;response2;84608,00000000000;19;female;english, latin, spanish
498767;bello;beddro;1;response1;64659,00000000000;21;female;english
835852;bello;floven;4;response2;37258,29999923710;19;female;english
415402;bello;finne;2;response1;506157,70000001800;20;female;english
766052;bello;foier;8;response1;41601,89999997620;20;male;english
573518;bello;cruel;1;response3;21722,39999997620;20;female;english
573518;bello;dusten;1;response2;21722,39999997620;20;female;english
770388;bello;petitem;5;response2;21994,80000000000;19;female;english
449638;bello;boiz;8;response1;27766,29999999990;20;female;english, french
322150;bello;abernichste;6;response2;81318,90000009540;20;female;english
550028;bello;bellium;1;response2;111185,00000000000;23;NA;english, spanish
794698;bello;veinz;9;response3;93936,00000000000;19;female;english
936425;bello;ruorg;9;response1;68907,30000000070;21;female;english, french
460911;bello;lovrin;8;response3;44592,20000000300;23;male;english
809330;bello;gutten;1;response3;38005,00000000000;21;female;english
607637;bello;brut;8;response3;40101,50000000000;20;male;english, french, spanish
766052;bello;fellendh;8;response3;41601,89999997620;20;male;english
770450;bello;lobren;4;response2;43691,89999999990;19;female;english
467222;bello;minur;2;response2;124593,50000000000;19;female;english, spanish
430167;bello;brist;11;response2;97046,00000000000;19;female;english, french, spanish
447093;bello;vaz;7;response3;129783,00000000000;21;male;english, french
683415;bello;dultim;11;response3;37616,69999980930;19;female;english
803184;bello;schon;7;response2;13810,90000009540;20;NA;english, spanish
284147;bello;skallo;8;response3;31754,00000000000;21;female;english
937792;bello;bantek;9;response2;24258,79999923710;19;female;english
849437;bello;steusch;0;response3;41922,29999995230;19;female;english, french
135443;bello;mann;2;response3;16778,00000000000;20;female;none
682500;bello;polar;3;response1;28667,70000004770;20;female;english, spanish
498767;bello;beollox;1;response2;64659,00000000000;21;female;english
770450;bello;gud;4;response1;43691,89999999990;19;female;english
82936;bello;beschuffessen;5;response2;81746,60000038150;21;female;english, french, spanish
24556;bello;cahdrz;9;response3;52508,00000000000;19;female;english
447093;bello;jau;7;response2;129783,00000000000;21;male;english, french
430167;bello;bect;11;response1;97046,00000000000;19;female;english, french, spanish
427482;bello;berr;11;response2;234183,50000000000;19;female;bergamasque, english, french
952932;bello;freuss;4;response3;134053,70000000001;20;female;english, spanish
794698;bello;dakent;9;response2;93936,00000000000;19;female;english
794698;bello;whetler;9;response1;93936,00000000000;19;female;english
937792;bello;beuoich;9;response1;24258,79999923710;19;female;english
629179;bello;swhanzen;0;response1;157999,80000007199;21;female;english
115250;bello;blich;2;response3;84608,00000000000;19;female;english, latin, spanish
557299;bello;tussand;0;response2;78711,00000000000;19;female;english
573518;bello;daic;1;response1;21722,39999997620;20;female;english
678079;bello;fregnen;9;response3;29047,00000000000;19;female;english
766052;bello;fellst;8;response2;41601,89999997620;20;male;english
678079;bello;bellen;9;response2;29047,00000000000;19;female;english
770388;bello;beskrum;5;response3;21994,80000000000;19;female;english
770388;bello;bellem;5;response1;21994,80000000000;19;female;english
750782;bello;skrotz;1;response3;27477,19999998810;20;female;english, french
849437;bello;storengen;0;response1;41922,29999995230;19;female;english, french
678079;bello;shon;9;response1;29047,00000000000;19;female;english
862212;bello;goutewn;1;response2;117948,00000000000;21;female;english, french
768043;bello;gundanch;8;response2;52737,00000000000;19;male;english
